,datas,termos,id,posição
35,2022-06-06,morena rosa,br.com.zattini,3.0
36,2022-06-06,morena rosa,com.farfetch.farfetchshop,
37,2022-06-06,morena rosa,com.mobfiq.offpremium,
38,2022-06-06,morena rosa,com.privalia.br,2.0
39,2022-06-06,outlet,amaro.amaroandroid,21.0
40,2022-06-06,outlet,br.com.dafiti,7.0
41,2022-06-06,outlet,br.com.zattini,4.0
42,2022-06-06,outlet,com.farfetch.farfetchshop,
43,2022-06-06,outlet,com.mobfiq.offpremium,10.0
44,2022-06-06,outlet,com.privalia.br,1.0
45,2022-06-06,outlet adidas,amaro.amaroandroid,
46,2022-06-06,outlet adidas,br.com.dafiti,12.0
47,2022-06-06,outlet adidas,br.com.zattini,15.0
48,2022-06-06,outlet adidas,com.farfetch.farfetchshop,
49,2022-06-06,outlet adidas,com.mobfiq.offpremium,16.0
50,2022-06-06,outlet adidas,com.privalia.br,3.0
51,2022-06-06,outlet bastille,amaro.amaroandroid,24.0
52,2022-06-06,outlet bastille,br.com.dafiti,15.0
53,2022-06-06,outlet bastille,br.com.zattini,
54,2022-06-06,outlet bastille,com.farfetch.farfetchshop,
55,2022-06-06,outlet bastille,com.mobfiq.offpremium,
56,2022-06-06,outlet bastille,com.privalia.br,1.0
57,2022-06-06,outlet beyoung,amaro.amaroandroid,18.0
58,2022-06-06,outlet beyoung,br.com.dafiti,11.0
59,2022-06-06,outlet beyoung,br.com.zattini,10.0
60,2022-06-06,outlet beyoung,com.farfetch.farfetchshop,
61,2022-06-06,outlet beyoung,com.mobfiq.offpremium,9.0
62,2022-06-06,outlet beyoung,com.privalia.br,1.0
63,2022-06-06,outlet calvin klein jeans,amaro.amaroandroid,28.0
64,2022-06-06,outlet calvin klein jeans,br.com.dafiti,6.0
65,2022-06-06,outlet calvin klein jeans,br.com.zattini,15.0
66,2022-06-06,outlet calvin klein jeans,com.farfetch.farfetchshop,
67,2022-06-06,outlet calvin klein jeans,com.mobfiq.offpremium,16.0
68,2022-06-06,outlet calvin klein jeans,com.privalia.br,2.0
69,2022-06-06,outlet capodarte,amaro.amaroandroid,
70,2022-06-06,outlet capodarte,br.com.dafiti,4.0
71,2022-06-06,outlet capodarte,br.com.zattini,5.0
72,2022-06-06,outlet capodarte,com.farfetch.farfetchshop,
73,2022-06-06,outlet capodarte,com.mobfiq.offpremium,
74,2022-06-06,outlet capodarte,com.privalia.br,2.0
75,2022-06-06,outlet cardigans,amaro.amaroandroid,21.0
76,2022-06-06,outlet cardigans,br.com.dafiti,5.0
77,2022-06-06,outlet cardigans,br.com.zattini,2.0
78,2022-06-06,outlet cardigans,com.mobfiq.offpremium,9.0
79,2022-06-06,outlet cardigans,com.privalia.br,1.0
80,2022-06-06,outlet coca-cola,amaro.amaroandroid,
81,2022-06-06,outlet coca-cola,br.com.dafiti,17.0
82,2022-06-06,outlet coca-cola,br.com.zattini,14.0
83,2022-06-06,outlet coca-cola,com.mobfiq.offpremium,
84,2022-06-06,outlet coca-cola,com.privalia.br,9.0
85,2022-06-06,outlet cravo e canela,amaro.amaroandroid,
86,2022-06-06,outlet cravo e canela,br.com.dafiti,2.0
87,2022-06-06,outlet cravo e canela,br.com.zattini,4.0
88,2022-06-06,outlet cravo e canela,com.farfetch.farfetchshop,
89,2022-06-06,outlet cravo e canela,com.mobfiq.offpremium,
90,2022-06-06,outlet cravo e canela,com.privalia.br,3.0
91,2022-06-06,outlet de marcas,amaro.amaroandroid,15.0
92,2022-06-06,outlet de marcas,br.com.dafiti,5.0
93,2022-06-06,outlet de marcas,br.com.zattini,4.0
94,2022-06-06,outlet de marcas,com.farfetch.farfetchshop,17.0
95,2022-06-06,outlet de marcas,com.mobfiq.offpremium,2.0
96,2022-06-06,outlet de marcas,com.privalia.br,1.0
97,2022-06-06,outlet de moda,amaro.amaroandroid,15.0
98,2022-06-06,outlet de moda,br.com.dafiti,6.0
99,2022-06-06,outlet de moda,br.com.zattini,2.0
100,2022-06-06,outlet de moda,com.farfetch.farfetchshop,19.0
101,2022-06-06,outlet de moda,com.mobfiq.offpremium,9.0
102,2022-06-06,outlet de moda,com.privalia.br,1.0
103,2022-06-06,outlet e-girl roupas,amaro.amaroandroid,18.0
104,2022-06-06,outlet e-girl roupas,br.com.dafiti,8.0
105,2022-06-06,outlet e-girl roupas,br.com.zattini,2.0
106,2022-06-06,outlet e-girl roupas,com.farfetch.farfetchshop,
107,2022-06-06,outlet e-girl roupas,com.mobfiq.offpremium,26.0
108,2022-06-06,outlet e-girl roupas,com.privalia.br,1.0
109,2022-06-06,outlet fellipe krein,amaro.amaroandroid,
110,2022-06-06,outlet fellipe krein,br.com.dafiti,3.0
111,2022-06-06,outlet fellipe krein,br.com.zattini,2.0
112,2022-06-06,outlet fellipe krein,com.farfetch.farfetchshop,
113,2022-06-06,outlet fellipe krein,com.mobfiq.offpremium,25.0
114,2022-06-06,outlet fellipe krein,com.privalia.br,1.0
115,2022-06-06,outlet fila,amaro.amaroandroid,
116,2022-06-06,outlet fila,br.com.dafiti,6.0
117,2022-06-06,outlet fila,br.com.zattini,8.0
118,2022-06-06,outlet fila,com.farfetch.farfetchshop,
119,2022-06-06,outlet fila,com.mobfiq.offpremium,
120,2022-06-06,outlet fila,com.privalia.br,3.0
121,2022-06-06,outlet forum,amaro.amaroandroid,
122,2022-06-06,outlet forum,br.com.dafiti,3.0
123,2022-06-06,outlet forum,br.com.zattini,4.0
124,2022-06-06,outlet forum,com.farfetch.farfetchshop,
125,2022-06-06,outlet forum,com.mobfiq.offpremium,18.0
126,2022-06-06,outlet forum,com.privalia.br,1.0
127,2022-06-06,outlet granado,amaro.amaroandroid,21.0
128,2022-06-06,outlet granado,br.com.dafiti,
129,2022-06-06,outlet granado,br.com.zattini,
130,2022-06-06,outlet granado,com.farfetch.farfetchshop,
131,2022-06-06,outlet granado,com.mobfiq.offpremium,12.0
132,2022-06-06,outlet granado,com.privalia.br,1.0
133,2022-06-06,outlet hugo boss,amaro.amaroandroid,22.0
134,2022-06-06,outlet hugo boss,br.com.dafiti,12.0
135,2022-06-06,outlet hugo boss,br.com.zattini,9.0
136,2022-06-06,outlet hugo boss,com.farfetch.farfetchshop,26.0
137,2022-06-06,outlet hugo boss,com.mobfiq.offpremium,7.0
138,2022-06-06,outlet hugo boss,com.privalia.br,3.0
139,2022-06-06,outlet intuição,amaro.amaroandroid,9.0
140,2022-06-06,outlet intuição,br.com.dafiti,
141,2022-06-06,outlet intuição,br.com.zattini,2.0
142,2022-06-06,outlet intuição,com.farfetch.farfetchshop,
143,2022-06-06,outlet intuição,com.mobfiq.offpremium,
144,2022-06-06,outlet intuição,com.privalia.br,1.0
145,2022-06-06,outlet javali,amaro.amaroandroid,
146,2022-06-06,outlet javali,br.com.dafiti,
147,2022-06-06,outlet javali,br.com.zattini,
148,2022-06-06,outlet javali,com.farfetch.farfetchshop,
149,2022-06-06,outlet javali,com.mobfiq.offpremium,
150,2022-06-06,outlet javali,com.privalia.br,
151,2022-06-06,outlet lacoste,amaro.amaroandroid,
152,2022-06-06,outlet lacoste,br.com.dafiti,7.0
153,2022-06-06,outlet lacoste,br.com.zattini,8.0
154,2022-06-06,outlet lacoste,com.farfetch.farfetchshop,
155,2022-06-06,outlet lacoste,com.mobfiq.offpremium,13.0
156,2022-06-06,outlet lacoste,com.privalia.br,2.0
157,2022-06-06,outlet michael kors,amaro.amaroandroid,
158,2022-06-06,outlet michael kors,br.com.dafiti,13.0
159,2022-06-06,outlet michael kors,br.com.zattini,
160,2022-06-06,outlet michael kors,com.farfetch.farfetchshop,19.0
161,2022-06-06,outlet michael kors,com.mobfiq.offpremium,6.0
162,2022-06-06,outlet michael kors,com.privalia.br,7.0
163,2022-06-06,outlet morena rosa,amaro.amaroandroid,18.0
164,2022-06-06,outlet morena rosa,br.com.dafiti,7.0
165,2022-06-06,outlet morena rosa,br.com.zattini,3.0
166,2022-06-06,outlet morena rosa,com.farfetch.farfetchshop,
167,2022-06-06,outlet morena rosa,com.mobfiq.offpremium,12.0
168,2022-06-06,outlet morena rosa,com.privalia.br,1.0
169,2022-06-06,outlet mr kitsch,amaro.amaroandroid,19.0
170,2022-06-06,outlet mr kitsch,br.com.dafiti,2.0
171,2022-06-06,outlet mr kitsch,br.com.zattini,
172,2022-06-06,outlet mr kitsch,com.farfetch.farfetchshop,
173,2022-06-06,outlet mr kitsch,com.mobfiq.offpremium,7.0
174,2022-06-06,outlet mr kitsch,com.privalia.br,1.0
175,2022-06-06,outlet nike,amaro.amaroandroid,
176,2022-06-06,outlet nike,br.com.dafiti,8.0
177,2022-06-06,outlet nike,br.com.zattini,10.0
178,2022-06-06,outlet nike,com.farfetch.farfetchshop,
179,2022-06-06,outlet nike,com.mobfiq.offpremium,17.0
180,2022-06-06,outlet nike,com.privalia.br,4.0
181,2022-06-06,outlet perlatto,amaro.amaroandroid,
182,2022-06-06,outlet perlatto,br.com.dafiti,2.0
183,2022-06-06,outlet perlatto,br.com.zattini,3.0
184,2022-06-06,outlet perlatto,com.farfetch.farfetchshop,
185,2022-06-06,outlet perlatto,com.mobfiq.offpremium,25.0
186,2022-06-06,outlet perlatto,com.privalia.br,1.0
187,2022-06-06,outlet premium,amaro.amaroandroid,
188,2022-06-06,outlet premium,br.com.dafiti,10.0
189,2022-06-06,outlet premium,br.com.zattini,8.0
190,2022-06-06,outlet premium,com.farfetch.farfetchshop,21.0
191,2022-06-06,outlet premium,com.mobfiq.offpremium,3.0
192,2022-06-06,outlet premium,com.privalia.br,4.0
193,2022-06-06,outlet samsonite,amaro.amaroandroid,29.0
194,2022-06-06,outlet samsonite,br.com.dafiti,13.0
195,2022-06-06,outlet samsonite,br.com.zattini,8.0
196,2022-06-06,outlet samsonite,com.farfetch.farfetchshop,27.0
197,2022-06-06,outlet samsonite,com.mobfiq.offpremium,
198,2022-06-06,outlet samsonite,com.privalia.br,2.0
199,2022-06-06,outlet tracta,amaro.amaroandroid,22.0
200,2022-06-06,outlet tracta,br.com.dafiti,11.0
201,2022-06-06,outlet tracta,br.com.zattini,8.0
202,2022-06-06,outlet tracta,com.mobfiq.offpremium,
203,2022-06-06,outlet tracta,com.privalia.br,1.0
204,2022-06-06,outlet triton,amaro.amaroandroid,
205,2022-06-06,outlet triton,br.com.dafiti,
206,2022-06-06,outlet triton,br.com.zattini,
207,2022-06-06,outlet triton,com.farfetch.farfetchshop,
208,2022-06-06,outlet triton,com.mobfiq.offpremium,
209,2022-06-06,outlet triton,com.privalia.br,1.0
210,2022-06-06,outlet umbro,amaro.amaroandroid,
211,2022-06-06,outlet umbro,br.com.dafiti,8.0
212,2022-06-06,outlet umbro,br.com.zattini,7.0
213,2022-06-06,outlet umbro,com.farfetch.farfetchshop,
214,2022-06-06,outlet umbro,com.mobfiq.offpremium,17.0
215,2022-06-06,outlet umbro,com.privalia.br,4.0
216,2022-06-06,outlet west coast,br.com.dafiti,
217,2022-06-06,outlet west coast,com.farfetch.farfetchshop,16.0
218,2022-06-06,outlet west coast,com.privalia.br,
219,2022-06-06,outlet wrangler,amaro.amaroandroid,
220,2022-06-06,outlet wrangler,br.com.dafiti,15.0
221,2022-06-06,outlet wrangler,br.com.zattini,13.0
222,2022-06-06,outlet wrangler,com.farfetch.farfetchshop,
223,2022-06-06,outlet wrangler,com.mobfiq.offpremium,10.0
224,2022-06-06,outlet wrangler,com.privalia.br,2.0
225,2022-06-06,privalia,amaro.amaroandroid,8.0
226,2022-06-06,privalia,br.com.dafiti,3.0
227,2022-06-06,privalia,br.com.zattini,2.0
228,2022-06-06,privalia,com.farfetch.farfetchshop,39.0
229,2022-06-06,privalia,com.mobfiq.offpremium,17.0
230,2022-06-06,privalia,com.privalia.br,1.0
231,2022-06-06,privalia br,amaro.amaroandroid,14.0
232,2022-06-06,privalia br,br.com.dafiti,3.0
233,2022-06-06,privalia br,br.com.zattini,4.0
234,2022-06-06,privalia br,com.farfetch.farfetchshop,54.0
235,2022-06-06,privalia br,com.mobfiq.offpremium,39.0
236,2022-06-06,privalia br,com.privalia.br,1.0
237,2022-06-06,roupas de marca,amaro.amaroandroid,10.0
238,2022-06-06,roupas de marca,br.com.dafiti,1.0
239,2022-06-06,roupas de marca,br.com.zattini,2.0
240,2022-06-06,roupas de marca,com.farfetch.farfetchshop,16.0
241,2022-06-06,roupas de marca,com.mobfiq.offpremium,29.0
242,2022-06-06,roupas de marca,com.privalia.br,3.0
243,2022-06-05,adidas,amaro.amaroandroid,
244,2022-06-05,adidas,br.com.dafiti,15.0
245,2022-06-05,adidas,br.com.zattini,56.0
246,2022-06-05,adidas,com.farfetch.farfetchshop,72.0
247,2022-06-05,adidas,com.mobfiq.offpremium,55.0
248,2022-06-05,adidas,com.privalia.br,101.0
249,2022-06-05,calvin klein jeans,amaro.amaroandroid,14.0
250,2022-06-05,calvin klein jeans,br.com.dafiti,2.0
251,2022-06-05,calvin klein jeans,br.com.zattini,10.0
252,2022-06-05,calvin klein jeans,com.farfetch.farfetchshop,26.0
253,2022-06-05,calvin klein jeans,com.mobfiq.offpremium,33.0
254,2022-06-05,calvin klein jeans,com.privalia.br,5.0
255,2022-06-05,capodarte,amaro.amaroandroid,
256,2022-06-05,capodarte,br.com.dafiti,4.0
257,2022-06-05,capodarte,br.com.zattini,9.0
258,2022-06-05,capodarte,com.farfetch.farfetchshop,
259,2022-06-05,capodarte,com.mobfiq.offpremium,
260,2022-06-05,capodarte,com.privalia.br,10.0
261,2022-06-05,compras online,amaro.amaroandroid,
262,2022-06-05,compras online,br.com.dafiti,
263,2022-06-05,compras online,br.com.zattini,18.0
264,2022-06-05,compras online,com.privalia.br,27.0
265,2022-06-05,cravo e canela,amaro.amaroandroid,
266,2022-06-05,cravo e canela,br.com.dafiti,2.0
267,2022-06-05,cravo e canela,br.com.zattini,9.0
268,2022-06-05,cravo e canela,com.mobfiq.offpremium,
269,2022-06-05,cravo e canela,com.privalia.br,11.0
270,2022-06-05,lacoste,amaro.amaroandroid,25.0
271,2022-06-05,lacoste,br.com.dafiti,6.0
272,2022-06-05,lacoste,br.com.zattini,10.0
273,2022-06-05,lacoste,com.farfetch.farfetchshop,17.0
274,2022-06-05,lacoste,com.mobfiq.offpremium,24.0
275,2022-06-05,lacoste,com.privalia.br,11.0
276,2022-06-05,morena rosa,amaro.amaroandroid,9.0
277,2022-06-05,morena rosa,br.com.dafiti,5.0
278,2022-06-05,morena rosa,br.com.zattini,4.0
279,2022-06-05,morena rosa,com.farfetch.farfetchshop,
280,2022-06-05,morena rosa,com.mobfiq.offpremium,
281,2022-06-05,morena rosa,com.privalia.br,2.0
282,2022-06-05,outlet,amaro.amaroandroid,29.0
283,2022-06-05,outlet,br.com.dafiti,8.0
284,2022-06-05,outlet,br.com.zattini,5.0
285,2022-06-05,outlet,com.farfetch.farfetchshop,
286,2022-06-05,outlet,com.mobfiq.offpremium,7.0
287,2022-06-05,outlet,com.privalia.br,1.0
288,2022-06-05,outlet adidas,amaro.amaroandroid,
289,2022-06-05,outlet adidas,br.com.dafiti,11.0
290,2022-06-05,outlet adidas,br.com.zattini,13.0
291,2022-06-05,outlet adidas,com.farfetch.farfetchshop,
292,2022-06-05,outlet adidas,com.mobfiq.offpremium,16.0
293,2022-06-05,outlet adidas,com.privalia.br,2.0
294,2022-06-05,outlet bastille,amaro.amaroandroid,25.0
295,2022-06-05,outlet bastille,br.com.dafiti,9.0
296,2022-06-05,outlet bastille,br.com.zattini,
297,2022-06-05,outlet bastille,com.farfetch.farfetchshop,
298,2022-06-05,outlet bastille,com.mobfiq.offpremium,
299,2022-06-05,outlet bastille,com.privalia.br,2.0
300,2022-06-05,outlet beyoung,amaro.amaroandroid,19.0
301,2022-06-05,outlet beyoung,br.com.dafiti,15.0
302,2022-06-05,outlet beyoung,br.com.zattini,10.0
303,2022-06-05,outlet beyoung,com.farfetch.farfetchshop,
304,2022-06-05,outlet beyoung,com.mobfiq.offpremium,11.0
305,2022-06-05,outlet beyoung,com.privalia.br,1.0
306,2022-06-05,outlet calvin klein jeans,amaro.amaroandroid,23.0
307,2022-06-05,outlet calvin klein jeans,br.com.dafiti,7.0
308,2022-06-05,outlet calvin klein jeans,br.com.zattini,10.0
309,2022-06-05,outlet calvin klein jeans,com.farfetch.farfetchshop,
310,2022-06-05,outlet calvin klein jeans,com.mobfiq.offpremium,14.0
311,2022-06-05,outlet calvin klein jeans,com.privalia.br,2.0
312,2022-06-05,outlet capodarte,amaro.amaroandroid,
313,2022-06-05,outlet capodarte,br.com.dafiti,4.0
314,2022-06-05,outlet capodarte,br.com.zattini,7.0
315,2022-06-05,outlet capodarte,com.farfetch.farfetchshop,
316,2022-06-05,outlet capodarte,com.mobfiq.offpremium,
317,2022-06-05,outlet capodarte,com.privalia.br,2.0
318,2022-06-05,outlet cardigans,amaro.amaroandroid,21.0
319,2022-06-05,outlet cardigans,br.com.dafiti,8.0
320,2022-06-05,outlet cardigans,br.com.zattini,6.0
321,2022-06-05,outlet cardigans,com.mobfiq.offpremium,10.0
322,2022-06-05,outlet cardigans,com.privalia.br,1.0
323,2022-06-05,outlet coca-cola,amaro.amaroandroid,
324,2022-06-05,outlet coca-cola,br.com.dafiti,16.0
325,2022-06-05,outlet coca-cola,br.com.zattini,14.0
326,2022-06-05,outlet coca-cola,com.mobfiq.offpremium,
327,2022-06-05,outlet coca-cola,com.privalia.br,8.0
328,2022-06-05,outlet cravo e canela,amaro.amaroandroid,
329,2022-06-05,outlet cravo e canela,br.com.dafiti,3.0
330,2022-06-05,outlet cravo e canela,br.com.zattini,5.0
331,2022-06-05,outlet cravo e canela,com.farfetch.farfetchshop,
332,2022-06-05,outlet cravo e canela,com.mobfiq.offpremium,
333,2022-06-05,outlet cravo e canela,com.privalia.br,2.0
334,2022-06-05,outlet de marcas,amaro.amaroandroid,19.0
335,2022-06-05,outlet de marcas,br.com.dafiti,3.0
336,2022-06-05,outlet de marcas,br.com.zattini,6.0
337,2022-06-05,outlet de marcas,com.farfetch.farfetchshop,14.0
338,2022-06-05,outlet de marcas,com.mobfiq.offpremium,2.0
339,2022-06-05,outlet de marcas,com.privalia.br,1.0
340,2022-06-05,outlet de moda,amaro.amaroandroid,20.0
341,2022-06-05,outlet de moda,br.com.dafiti,5.0
342,2022-06-05,outlet de moda,br.com.zattini,4.0
343,2022-06-05,outlet de moda,com.farfetch.farfetchshop,19.0
344,2022-06-05,outlet de moda,com.mobfiq.offpremium,6.0
345,2022-06-05,outlet de moda,com.privalia.br,1.0
346,2022-06-05,outlet e-girl roupas,amaro.amaroandroid,23.0
347,2022-06-05,outlet e-girl roupas,br.com.dafiti,7.0
348,2022-06-05,outlet e-girl roupas,br.com.zattini,5.0
349,2022-06-05,outlet e-girl roupas,com.farfetch.farfetchshop,
350,2022-06-05,outlet e-girl roupas,com.mobfiq.offpremium,18.0
351,2022-06-05,outlet e-girl roupas,com.privalia.br,1.0
352,2022-06-05,outlet fellipe krein,amaro.amaroandroid,
353,2022-06-05,outlet fellipe krein,br.com.dafiti,3.0
354,2022-06-05,outlet fellipe krein,br.com.zattini,2.0
355,2022-06-05,outlet fellipe krein,com.farfetch.farfetchshop,
356,2022-06-05,outlet fellipe krein,com.mobfiq.offpremium,17.0
357,2022-06-05,outlet fellipe krein,com.privalia.br,1.0
358,2022-06-05,outlet fila,amaro.amaroandroid,
359,2022-06-05,outlet fila,br.com.dafiti,5.0
360,2022-06-05,outlet fila,br.com.zattini,10.0
361,2022-06-05,outlet fila,com.farfetch.farfetchshop,
362,2022-06-05,outlet fila,com.mobfiq.offpremium,
363,2022-06-05,outlet fila,com.privalia.br,3.0
364,2022-06-05,outlet forum,amaro.amaroandroid,
365,2022-06-05,outlet forum,br.com.dafiti,3.0
366,2022-06-05,outlet forum,br.com.zattini,5.0
367,2022-06-05,outlet forum,com.farfetch.farfetchshop,
368,2022-06-05,outlet forum,com.mobfiq.offpremium,15.0
369,2022-06-05,outlet forum,com.privalia.br,1.0
370,2022-06-05,outlet granado,amaro.amaroandroid,19.0
371,2022-06-05,outlet granado,br.com.dafiti,
372,2022-06-05,outlet granado,br.com.zattini,
373,2022-06-05,outlet granado,com.farfetch.farfetchshop,
374,2022-06-05,outlet granado,com.mobfiq.offpremium,11.0
375,2022-06-05,outlet granado,com.privalia.br,1.0
376,2022-06-05,outlet hugo boss,amaro.amaroandroid,26.0
377,2022-06-05,outlet hugo boss,br.com.dafiti,14.0
378,2022-06-05,outlet hugo boss,br.com.zattini,12.0
379,2022-06-05,outlet hugo boss,com.farfetch.farfetchshop,28.0
380,2022-06-05,outlet hugo boss,com.mobfiq.offpremium,8.0
381,2022-06-05,outlet hugo boss,com.privalia.br,2.0
382,2022-06-05,outlet intuição,amaro.amaroandroid,7.0
383,2022-06-05,outlet intuição,br.com.dafiti,
384,2022-06-05,outlet intuição,br.com.zattini,3.0
385,2022-06-05,outlet intuição,com.farfetch.farfetchshop,
386,2022-06-05,outlet intuição,com.mobfiq.offpremium,
387,2022-06-05,outlet intuição,com.privalia.br,1.0
388,2022-06-05,outlet javali,amaro.amaroandroid,
389,2022-06-05,outlet javali,br.com.dafiti,
390,2022-06-05,outlet javali,br.com.zattini,
391,2022-06-05,outlet javali,com.farfetch.farfetchshop,
392,2022-06-05,outlet javali,com.mobfiq.offpremium,
393,2022-06-05,outlet javali,com.privalia.br,
394,2022-06-05,outlet lacoste,amaro.amaroandroid,26.0
395,2022-06-05,outlet lacoste,br.com.dafiti,4.0
396,2022-06-05,outlet lacoste,br.com.zattini,8.0
397,2022-06-05,outlet lacoste,com.farfetch.farfetchshop,
398,2022-06-05,outlet lacoste,com.mobfiq.offpremium,12.0
399,2022-06-05,outlet lacoste,com.privalia.br,2.0
400,2022-06-05,outlet michael kors,amaro.amaroandroid,
401,2022-06-05,outlet michael kors,br.com.dafiti,12.0
402,2022-06-05,outlet michael kors,br.com.zattini,
403,2022-06-05,outlet michael kors,com.farfetch.farfetchshop,15.0
404,2022-06-05,outlet michael kors,com.mobfiq.offpremium,6.0
405,2022-06-05,outlet michael kors,com.privalia.br,7.0
406,2022-06-05,outlet morena rosa,amaro.amaroandroid,16.0
407,2022-06-05,outlet morena rosa,br.com.dafiti,6.0
408,2022-06-05,outlet morena rosa,br.com.zattini,4.0
409,2022-06-05,outlet morena rosa,com.farfetch.farfetchshop,
410,2022-06-05,outlet morena rosa,com.mobfiq.offpremium,13.0
411,2022-06-05,outlet morena rosa,com.privalia.br,1.0
412,2022-06-05,outlet mr kitsch,amaro.amaroandroid,23.0
413,2022-06-05,outlet mr kitsch,br.com.dafiti,3.0
414,2022-06-05,outlet mr kitsch,br.com.zattini,
415,2022-06-05,outlet mr kitsch,com.farfetch.farfetchshop,
416,2022-06-05,outlet mr kitsch,com.mobfiq.offpremium,6.0
417,2022-06-05,outlet mr kitsch,com.privalia.br,1.0
418,2022-06-05,outlet nike,amaro.amaroandroid,
419,2022-06-05,outlet nike,br.com.dafiti,9.0
420,2022-06-05,outlet nike,br.com.zattini,10.0
421,2022-06-05,outlet nike,com.farfetch.farfetchshop,
422,2022-06-05,outlet nike,com.mobfiq.offpremium,17.0
423,2022-06-05,outlet nike,com.privalia.br,5.0
424,2022-06-05,outlet perlatto,amaro.amaroandroid,
425,2022-06-05,outlet perlatto,br.com.dafiti,2.0
426,2022-06-05,outlet perlatto,br.com.zattini,3.0
427,2022-06-05,outlet perlatto,com.farfetch.farfetchshop,
428,2022-06-05,outlet perlatto,com.mobfiq.offpremium,21.0
429,2022-06-05,outlet perlatto,com.privalia.br,1.0
430,2022-06-05,outlet premium,amaro.amaroandroid,30.0
431,2022-06-05,outlet premium,br.com.dafiti,11.0
432,2022-06-05,outlet premium,br.com.zattini,9.0
433,2022-06-05,outlet premium,com.farfetch.farfetchshop,24.0
434,2022-06-05,outlet premium,com.mobfiq.offpremium,3.0
435,2022-06-05,outlet premium,com.privalia.br,4.0
436,2022-06-05,outlet samsonite,amaro.amaroandroid,29.0
437,2022-06-05,outlet samsonite,br.com.dafiti,11.0
438,2022-06-05,outlet samsonite,br.com.zattini,9.0
439,2022-06-05,outlet samsonite,com.farfetch.farfetchshop,
440,2022-06-05,outlet samsonite,com.mobfiq.offpremium,
441,2022-06-05,outlet samsonite,com.privalia.br,2.0
442,2022-06-05,outlet tracta,amaro.amaroandroid,23.0
443,2022-06-05,outlet tracta,br.com.dafiti,6.0
444,2022-06-05,outlet tracta,br.com.zattini,10.0
445,2022-06-05,outlet tracta,com.mobfiq.offpremium,
446,2022-06-05,outlet tracta,com.privalia.br,1.0
447,2022-06-05,outlet triton,amaro.amaroandroid,
448,2022-06-05,outlet triton,br.com.dafiti,
449,2022-06-05,outlet triton,br.com.zattini,
450,2022-06-05,outlet triton,com.farfetch.farfetchshop,
451,2022-06-05,outlet triton,com.mobfiq.offpremium,
452,2022-06-05,outlet triton,com.privalia.br,1.0
453,2022-06-05,outlet umbro,amaro.amaroandroid,
454,2022-06-05,outlet umbro,br.com.dafiti,7.0
455,2022-06-05,outlet umbro,br.com.zattini,8.0
456,2022-06-05,outlet umbro,com.farfetch.farfetchshop,
457,2022-06-05,outlet umbro,com.mobfiq.offpremium,20.0
458,2022-06-05,outlet umbro,com.privalia.br,4.0
459,2022-06-05,outlet west coast,br.com.dafiti,
460,2022-06-05,outlet west coast,com.farfetch.farfetchshop,17.0
461,2022-06-05,outlet west coast,com.privalia.br,
462,2022-06-05,outlet wrangler,amaro.amaroandroid,
463,2022-06-05,outlet wrangler,br.com.dafiti,9.0
464,2022-06-05,outlet wrangler,br.com.zattini,17.0
465,2022-06-05,outlet wrangler,com.farfetch.farfetchshop,
466,2022-06-05,outlet wrangler,com.mobfiq.offpremium,6.0
467,2022-06-05,outlet wrangler,com.privalia.br,2.0
